small_letters,capital_letters,spaces,digits,",",.,@,(,),!,-,?,%,&,#,_,=,;,:,/,author
57874,5034,8717,1196,85,863,970,5,27,403,258,131,4,19,1601,137,34,9,478,1968,0
57298,3738,12474,872,358,1028,324,104,172,226,238,144,4,10,556,26,6,32,320,642,0
13293,940,2066,689,24,347,31,1,1,36,211,62,10,4,5,27,10,0,188,615,0
6508,648,714,650,4,170,58,4,4,0,160,44,0,56,52,100,100,0,72,222,0
16496,1524,2482,664,38,358,588,12,156,592,92,70,4,10,100,96,16,104,256,488,0
2446,254,410,58,10,42,44,2,4,30,34,4,0,2,20,8,2,2,30,56,0
6533,499,1254,79,17,171,38,5,7,13,38,15,3,5,10,13,2,0,58,172,0
63442,7244,12796,3023,388,1622,527,83,141,513,644,108,4,131,516,46,1,24,925,2094,0
36564,4443,7221,576,152,509,572,15,22,444,137,94,2,44,645,36,7,1,407,656,0
29408,3322,4704,1316,146,772,402,30,36,268,176,78,4,18,358,68,12,4,482,1264,0
91817,7831,18062,2201,282,3868,32,17,17,65,152,67,1,36,4,2,1,1,1992,2947,0
66033,8362,9748,2338,121,1556,670,24,24,185,871,142,6,36,412,100,31,2,1130,3099,0
83367,9402,16263,1489,390,2134,240,335,254,442,414,128,11,42,461,24,24,12,1213,1988,0
9579,1031,1739,522,33,309,16,13,13,53,88,51,5,15,3,19,19,0,126,358,0
10310,801,1855,225,63,214,72,16,39,116,156,15,3,3,48,8,3,3,142,323,0
5884,530,958,114,32,74,114,2,4,14,74,10,2,4,18,12,10,2,40,104,0
72454,7470,11486,2883,250,1801,455,88,144,209,870,166,6,45,316,53,95,4,1268,3103,0
8604,754,1402,234,36,208,108,22,24,6,178,18,18,2,22,36,2,2,58,150,0
2153,472,412,238,3,94,2,0,1,17,4,2,0,0,26,0,0,0,162,328,0
1344,118,178,72,14,52,4,2,2,2,22,0,0,0,6,0,8,0,16,62,0
5993,491,1000,151,19,107,54,3,3,40,59,6,0,1,15,4,2,0,56,172,0
39992,2592,6924,1296,229,863,384,22,23,104,378,84,129,48,480,105,47,4,193,564,0
70078,5449,12954,1208,258,1422,1076,92,206,740,298,210,2,30,372,229,24,23,739,1577,0
4978,518,1073,150,23,149,0,0,0,26,11,9,0,0,0,0,0,0,57,159,0
5232,476,984,88,40,166,62,4,6,44,48,26,0,0,14,20,2,2,44,110,0
6715,1008,1372,199,81,303,2,2,2,33,33,22,0,0,0,0,1,0,175,277,0
50872,3714,10568,644,266,1164,605,76,116,299,197,84,0,102,94,139,0,22,323,703,0
49295,7108,10108,1848,254,1068,356,9,14,55,179,47,0,36,127,7,2,10,759,1926,0
11992,1004,1592,732,78,592,66,6,12,134,210,58,6,16,96,76,36,4,168,526,0
11348,901,2001,508,57,248,141,19,35,30,143,22,6,18,66,38,13,9,145,291,0
65539,5429,12284,1322,344,1461,1100,44,53,217,272,244,6,33,722,75,15,5,717,1565,0
66875,5135,13388,849,426,1626,899,98,118,261,240,192,7,58,200,102,13,8,759,1069,0
10868,1093,1653,475,12,211,63,4,3,32,194,27,2,29,29,32,31,2,184,418,0
102173,4953,11888,6003,139,1525,658,13,13,86,4353,54,226,41,2108,100,66,4,1385,4677,0
6565,464,719,360,6,167,249,14,55,127,69,10,0,0,5,56,117,1,79,214,0
4710,466,666,228,18,106,68,18,24,16,76,10,0,10,28,4,16,4,72,162,0
48132,5921,10248,1256,152,1397,402,127,124,77,180,82,5,9,144,16,215,0,252,1027,0
39348,3094,7456,1164,322,1244,208,16,18,322,316,120,0,34,162,26,40,0,360,968,0
72458,12625,10820,5713,161,1912,1101,24,24,245,847,104,0,39,901,465,130,1,1301,3765,0
2204,228,342,36,4,36,74,2,2,12,4,2,0,2,18,16,0,2,22,50,0
4730,460,620,206,8,92,108,6,6,14,34,14,4,2,126,14,2,0,66,184,0
44434,4041,9348,900,120,952,503,99,120,262,143,79,2,15,97,48,7,3,805,967,0
5075,522,1082,124,40,123,77,5,10,70,29,12,0,1,17,9,0,1,28,64,0
7463,426,1428,146,50,97,55,4,14,68,43,11,0,31,15,3,7,2,40,84,0
83057,19214,11875,6281,362,2032,819,18,19,195,355,864,18,69,3275,812,837,6,1323,3072,0
49286,4580,6888,1954,124,828,664,14,18,48,678,106,18,50,678,148,28,6,636,1816,0
33258,2984,5890,946,104,680,424,26,50,426,282,120,22,28,542,50,50,12,356,814,0
73935,5470,12107,3134,279,1572,802,34,37,160,1587,125,5,51,202,74,19,10,873,2502,0
56286,3615,9844,1142,247,1453,415,38,110,116,543,141,13,50,226,80,39,40,653,1521,0
82734,6324,13923,2471,390,1107,1220,35,67,293,803,213,33,76,725,192,58,26,881,2117,0
22808,1868,4228,697,84,589,66,9,9,98,190,84,14,9,11,42,11,2,277,786,0
40832,2820,5030,494,30,538,624,2,12,414,562,8,2,0,8,80,0,6,494,1900,0
71530,8072,11614,2173,217,1662,848,237,232,372,1054,99,13,36,873,224,21,5,1160,2857,0
52938,7404,10195,2247,191,1290,152,3,6,345,217,112,3,29,550,27,0,2,996,2452,0
68531,10639,12901,2827,464,3702,212,55,99,340,789,136,17,52,75,100,49,45,1111,2875,0
33927,3228,6183,801,198,821,332,13,14,164,260,79,4,15,207,65,16,3,302,647,0
1052,128,182,52,2,22,34,12,20,6,12,0,0,0,8,0,0,4,22,62,0
21210,2962,4391,741,116,1020,22,12,11,49,192,29,2,32,11,11,14,0,326,910,0
60381,5328,10136,1371,177,1659,0,14,11,13,274,45,6,11,0,0,1,5,1216,3086,0
20512,2140,3116,1236,66,534,182,8,8,54,250,44,2,36,12,22,42,2,316,922,0
48216,6690,10082,2380,402,1224,296,334,456,976,364,122,14,100,126,60,50,8,696,1676,0
51578,6572,8235,2758,179,1448,373,22,57,256,530,47,8,21,361,91,173,7,902,3243,0
2826,240,446,198,2,86,34,2,8,14,52,12,4,4,20,4,4,4,30,74,0
5674,658,578,198,0,38,246,0,0,82,2,16,0,0,6,60,2,0,24,40,0
82731,5895,15047,1933,273,1464,1045,73,114,243,896,115,10,18,432,143,22,12,794,2037,0
49205,4151,7891,1498,248,572,902,85,218,557,216,42,0,20,573,115,20,3,557,1303,0
10746,1282,1522,436,36,218,246,50,68,34,84,12,2,32,114,50,4,8,190,454,0
9836,1126,1212,558,30,329,62,6,6,7,326,13,11,14,57,43,21,1,121,414,0
40658,4234,6322,1220,86,832,230,84,206,528,200,38,2,14,638,78,8,12,976,2820,0
91585,8309,16353,2355,359,2475,1206,13,32,407,509,223,12,222,728,121,29,8,1019,2175,0
52631,6100,9933,1684,146,593,1212,28,145,824,227,88,8,180,402,41,39,6,470,995,0
4567,428,850,100,19,68,43,0,0,44,19,4,0,2,43,1,6,1,55,96,0
52442,4006,9810,992,382,1433,938,42,87,87,493,161,10,61,64,153,58,19,272,612,0
86510,6771,13247,4321,110,1939,533,91,140,510,714,127,2,88,2058,75,589,5,1014,4312,0
47805,4692,7939,1664,266,1280,416,19,23,230,551,93,4,14,203,183,34,2,379,1496,0
4774,740,732,444,12,128,74,4,4,82,4,10,0,12,20,18,16,2,116,286,0
63691,7963,10171,1394,222,2176,206,63,57,258,372,134,4,20,56,134,28,2,1970,2732,0
8416,1014,1342,368,62,302,118,6,12,56,124,20,0,6,22,30,10,4,132,290,0
2814,246,470,50,8,44,44,6,30,4,16,6,0,0,4,6,0,12,38,82,0
2552,410,412,104,20,98,42,0,0,18,22,2,0,0,28,14,0,0,48,92,0
53799,4689,10075,1543,209,929,316,22,92,463,648,87,22,255,247,34,8,2,619,1480,0
3646,404,572,108,14,76,48,14,10,2,110,14,0,0,18,14,0,2,66,162,0
67063,6365,12688,1365,74,1513,472,13,16,213,104,41,3,14,1168,27,10,3,882,1818,0
26742,1734,4792,528,194,340,214,8,8,0,156,18,10,12,138,24,10,2,130,396,0
74872,4259,10063,3844,414,2611,9,4,5,63,2574,108,3,6,581,39,36,52,843,4150,0
5836,572,826,290,4,74,202,18,50,36,70,10,2,0,42,28,0,0,102,194,0
59546,6479,11317,1907,218,1648,517,81,148,337,322,126,3,16,266,86,6,34,1023,1895,0
45732,2174,7942,742,148,918,438,14,100,338,186,98,2,14,210,50,34,2,330,760,0
79222,6491,14679,2428,240,1667,1294,18,45,824,1080,221,5,45,198,120,34,0,744,2069,0
59658,5181,9949,1393,152,1616,0,10,7,16,225,54,6,5,0,0,1,5,1217,3071,0
3987,582,658,198,23,178,90,4,86,0,38,5,0,2,37,27,0,0,84,178,0
79361,9011,16771,1837,460,1305,722,142,150,164,228,192,23,187,1497,85,56,48,652,479,0
5488,596,838,248,48,82,142,2,4,30,8,8,0,6,66,32,2,0,96,156,0
91337,4990,15114,1711,475,1885,1129,134,147,56,964,129,8,311,348,137,28,11,787,1750,0
3370,458,646,140,10,80,62,10,26,14,18,2,0,0,30,8,0,6,30,50,0
68637,7815,11236,3795,257,1428,929,286,317,587,909,166,54,117,706,280,188,24,752,2517,0
57455,6294,8762,2934,157,1242,257,33,40,383,817,100,27,52,319,63,53,9,1083,3651,0
38218,3638,5445,1547,143,1334,156,16,18,189,1308,97,0,56,4,22,49,2,350,1268,0
60292,9871,11557,3771,361,1808,538,129,124,28,226,297,24,20,11,12,5,0,1818,3112,0
40292,2579,7270,681,329,362,703,6,60,78,163,78,10,6,230,129,5,16,172,508,0
4384,840,700,178,12,92,92,0,22,12,134,12,0,0,50,10,2,8,82,196,0
75931,5472,14541,2167,444,1460,481,72,144,455,784,262,5,110,603,75,42,8,883,1990,0
1408,5526,1250,218,4,280,2,0,0,594,10,10,0,0,4,2,2,0,88,264,0
74644,6871,12066,2535,288,1231,1420,194,222,518,799,134,21,113,356,124,47,5,966,2351,0
8499,865,1808,170,22,174,84,3,10,193,26,31,0,1,62,1,0,0,67,149,0
64841,7934,12347,2099,365,1996,571,403,483,484,291,150,3,107,341,40,13,11,1147,2823,0
43992,3843,7241,1652,176,1015,241,6,6,99,1110,175,8,27,111,63,33,1,456,1584,0
58501,6518,11901,2855,247,1083,566,27,90,683,196,106,4,33,570,97,28,3,525,1099,0
70986,7869,14867,2197,647,2651,88,20,14,594,92,115,2,10,41,6,4,0,930,2572,0
4434,532,624,202,30,166,36,0,4,10,68,20,6,4,34,16,44,0,60,158,0
33732,2920,5658,996,218,788,498,12,66,152,418,162,10,38,458,122,76,24,260,740,0
15074,1848,2054,894,50,386,118,38,42,288,168,4,0,20,166,26,16,0,298,1020,0
12863,968,2678,113,93,227,166,9,8,29,24,38,0,0,9,19,1,2,65,144,0
5063,315,878,290,26,100,38,9,17,19,48,5,2,1,34,18,2,0,61,108,0
1394,134,230,4,12,30,20,0,0,16,0,8,0,0,12,2,0,0,0,2,0
54163,8241,9407,2147,199,1330,868,313,360,491,113,52,3,164,861,81,70,0,867,2653,0
76159,5122,13648,1203,263,1358,223,71,71,516,533,144,9,94,3051,19,1,2,1105,2687,0
31914,3343,4501,1585,106,729,140,4,4,165,798,72,11,32,45,53,32,0,491,1481,0
51213,10774,10720,1486,313,2317,242,29,79,812,292,286,4,46,51,41,66,3,827,2142,0
48252,4179,8982,1153,470,1249,491,159,9,500,145,183,0,65,837,119,12,47,548,827,0
65876,6778,10823,1663,205,1338,857,32,77,332,268,228,9,28,1650,145,24,13,745,1466,0
35717,4627,6626,1317,172,585,229,9,42,74,54,110,11,57,402,64,0,4,690,1103,0
65560,6291,13324,1397,401,2421,672,98,83,475,411,354,11,42,384,57,56,2,596,1160,0
59972,7218,13937,853,441,1157,717,11,104,271,122,275,1,11,17,151,15,3,261,309,0
13248,1800,2236,624,36,266,238,2,30,52,198,18,0,6,52,16,2,10,222,542,0
63058,5876,9055,2879,195,1329,537,23,21,220,1440,209,22,96,559,349,173,5,591,2177,0
40178,5006,6838,950,158,936,348,6,4,390,138,94,6,62,922,24,6,6,522,1310,0
88874,10931,15353,3622,258,3082,274,75,72,69,1106,105,8,84,903,54,2,5,1588,3247,0
80471,6782,11608,4004,288,1796,400,33,34,88,1755,143,5,9,144,318,33,5,1135,3577,0
56275,6054,11741,640,393,752,534,21,55,611,236,319,0,49,812,63,23,5,169,282,0
8706,1050,1186,406,2,254,68,12,12,26,188,24,0,6,20,22,12,0,178,486,0
57545,4472,11775,1621,314,1171,329,59,77,90,374,181,16,126,38,97,18,3,582,1214,0
40275,2452,7285,1314,219,491,343,36,62,680,154,138,25,62,182,48,72,6,352,751,0
49240,5108,6986,6394,54,890,380,6,20,620,202,40,0,8,596,38,6,20,936,2978,0
78993,7262,15359,2153,1078,2169,222,8,8,258,473,183,3,65,458,60,25,12,1239,2634,0
71990,3343,13495,1821,529,766,380,59,396,667,911,203,63,155,492,142,91,18,664,768,0
38300,3290,7534,658,232,798,176,0,2,90,156,112,6,18,26,30,22,6,386,940,0
74079,7078,8277,5334,194,2029,729,25,27,110,2866,164,76,84,331,580,150,8,920,3617,0
11956,1604,1770,664,10,400,110,18,22,38,108,26,0,44,142,26,50,2,266,788,0
50685,10054,8162,2891,45,1119,492,11,11,270,302,11,0,27,160,77,10,5,1045,2997,0
67152,8305,12744,1810,240,1626,1253,229,389,1034,321,149,10,107,180,244,74,13,991,3574,0
8098,635,1206,468,12,198,32,2,2,61,108,27,3,33,4,16,34,0,120,338,0
33014,2539,6395,625,73,811,380,12,11,207,176,70,4,18,70,40,29,0,195,500,0
7966,670,1086,274,10,142,88,4,8,46,172,20,8,14,66,40,20,2,94,242,0
9922,914,1380,496,86,256,80,0,0,76,274,30,16,10,12,12,24,2,116,340,0
17642,1536,3032,688,70,332,212,2,20,126,330,56,2,34,166,16,20,0,166,520,0
6414,716,1159,158,45,148,35,0,0,19,84,13,1,21,1,16,6,2,57,178,0
12907,1122,2607,287,103,480,47,11,12,103,58,11,0,8,20,1,3,6,103,308,0
4186,282,502,384,16,74,92,2,8,38,122,6,0,0,4,38,2,6,44,198,0
2066,232,300,108,4,84,6,8,8,8,30,4,0,4,44,0,4,0,30,112,0
20944,1714,2522,1284,22,432,592,2,86,532,230,50,0,2,38,170,444,2,182,720,0
2826,268,334,136,8,64,32,0,4,4,72,6,0,4,12,12,12,2,42,100,0
62484,10485,12146,4729,282,1939,19,0,0,46,46,25,11,0,29,53,27,1,1033,3315,0
4292,376,486,280,30,112,30,2,2,10,180,4,0,0,0,18,0,0,52,202,0
3632,180,596,166,38,138,8,2,2,12,72,34,0,0,6,2,34,0,50,148,0
3443,204,639,108,20,168,16,2,2,23,62,12,0,1,0,0,0,0,30,88,0
41530,5247,7924,676,51,270,1154,2,280,1134,25,165,0,18,415,110,0,3,401,359,0
101839,8310,11288,7235,241,2218,65,23,23,32,5006,139,46,72,40,363,132,2,1181,5173,0
11648,633,2164,150,100,238,18,2,10,50,82,21,0,39,9,18,14,9,60,135,0
3926,472,614,134,30,96,64,10,12,54,6,4,0,2,22,4,0,6,88,200,0
61579,6336,11568,1704,428,2020,616,28,67,289,497,214,6,22,216,115,24,30,634,2103,0
66417,7489,10368,2256,83,932,169,135,146,569,176,72,2,173,2491,41,16,6,1011,3287,0
65714,3990,9506,3430,362,1826,196,82,140,138,1732,134,44,38,48,126,56,38,970,2970,0
52815,6728,9843,1553,381,1047,812,129,222,629,218,228,3,9,83,87,40,46,828,1534,0
63220,5105,13535,1460,142,881,1161,66,323,530,713,278,9,58,197,178,14,117,327,489,0
26158,4786,4578,568,218,524,146,24,26,58,324,14,4,18,488,42,10,2,486,926,0
101193,12015,12833,3350,116,2026,854,10,61,25,771,590,23,482,60,672,48,3,709,3560,0
54615,4000,10472,513,200,1120,436,52,242,142,241,222,3,38,287,28,5,17,474,887,0
12976,1618,2292,400,32,234,100,14,20,6,70,14,4,4,204,10,2,0,232,566,0
7020,1116,1178,288,6,180,88,16,14,12,100,70,0,0,36,10,6,0,130,344,0
1620,172,298,52,2,42,10,0,0,12,2,6,0,0,12,2,0,0,24,56,0
50739,7425,6793,6896,91,1275,23,1,1,61,1345,12,4,9,67,32,10,0,967,3747,0
5028,528,850,202,10,136,82,8,14,104,52,0,0,0,16,6,32,6,86,242,0
80556,3783,10628,3969,284,2055,323,43,56,227,2679,225,24,74,366,208,112,12,1080,2998,0
36275,4387,6119,885,299,1321,21,60,64,77,220,68,3,22,10,55,8,1,1063,1948,0
4752,332,883,116,46,173,3,5,6,1,57,5,0,0,5,8,0,0,63,141,0
1780,170,228,102,4,82,40,0,24,22,18,2,0,0,6,6,34,8,28,82,0
50390,5306,9108,1454,233,1423,750,19,22,224,274,139,6,21,328,137,28,16,385,723,0
63911,7461,10372,1974,320,1469,1334,19,31,472,486,181,3,60,732,127,100,10,734,2471,0
75223,7079,14527,3333,471,2859,88,10,13,514,606,118,5,84,70,71,117,25,906,2634,0
50180,5346,8136,2463,235,1169,597,44,45,135,1069,107,8,9,267,90,23,3,501,2048,0
64680,5035,10451,2299,110,1337,702,28,48,119,1310,120,6,39,129,187,75,24,594,1948,0
3158,308,358,124,2,72,36,0,0,10,14,0,0,0,126,12,0,0,44,198,0
33946,4108,5664,2002,46,802,700,14,42,954,198,54,2,30,114,122,44,6,408,1286,0
3570,320,472,118,20,76,20,20,22,20,4,8,0,0,10,4,10,0,90,124,0
42090,4678,8990,591,243,1256,738,39,36,196,155,138,5,4,26,53,59,8,203,367,0
29028,1911,4772,1455,189,397,103,38,59,61,290,29,10,21,259,35,8,4,266,559,0
10300,1452,1606,340,18,174,130,6,6,32,46,16,2,6,90,10,0,2,204,466,0
61908,4008,9118,3442,160,1726,300,68,230,110,1782,98,10,50,134,126,10,4,866,2384,0
65361,8501,10015,1759,498,1032,386,140,127,220,378,184,1,46,1279,68,22,0,1010,3464,0
2748,246,426,140,6,40,22,0,2,12,50,6,6,14,16,14,18,4,24,54,0
4148,478,620,42,6,42,214,6,30,76,10,16,0,0,48,22,0,8,42,42,0
22766,2400,3302,1386,112,454,358,18,38,72,474,48,36,28,34,94,38,28,468,746,0
16206,3066,2406,1804,64,522,112,22,32,196,422,68,6,62,24,86,90,8,246,922,0
71928,8842,16359,1334,401,1342,732,139,254,633,317,121,62,214,932,118,35,17,439,554,0
51909,10351,10673,3214,321,1151,581,152,165,1148,831,36,108,247,63,29,15,2,1026,3021,0
70987,9261,13773,1880,304,2905,44,25,37,405,722,108,1,12,487,10,10,3,1460,2533,0
7958,656,1120,816,70,250,192,14,50,30,16,10,0,2,30,64,4,30,86,342,0
66629,8665,12325,2358,192,1183,1012,48,132,561,467,160,7,34,157,42,4,0,1521,2388,0
5044,598,743,183,5,78,133,3,4,46,112,7,1,6,33,5,2,0,61,142,0
50519,5481,8151,1282,94,817,624,42,44,249,205,59,0,22,777,122,217,1,547,2196,0
67749,7917,11771,7729,209,1787,327,74,91,628,629,143,41,27,329,37,16,2,1131,3881,0
23750,2172,3592,652,48,540,96,4,20,34,240,52,2,28,512,22,2,6,414,1140,0
48216,5508,7881,1664,199,1104,581,41,88,284,552,125,11,62,818,93,32,21,774,1954,0
56369,4800,10339,1433,113,790,1054,113,247,972,485,211,4,51,343,115,112,15,540,1240,0
36319,7100,5729,2556,223,1610,88,38,43,355,423,51,27,35,128,19,23,1,1014,2805,0
49098,4636,9472,1153,399,961,465,27,39,329,395,234,11,28,368,65,31,2,407,1339,0
13338,3210,1690,518,12,328,196,2,12,6,240,28,0,14,114,18,18,6,296,798,0
19956,2278,3060,606,44,304,530,4,20,28,174,24,0,14,106,38,2,8,448,634,0
24052,3138,4716,464,14,426,292,4,226,1314,42,64,2,24,188,42,42,100,290,378,0
11242,1150,2034,326,56,324,322,8,230,80,256,12,4,2,50,42,14,196,82,178,0
55338,5702,10843,1423,283,1355,750,92,139,328,290,132,1,74,675,189,44,0,522,1524,0
27380,3250,4438,1040,208,804,46,66,62,222,280,88,6,106,236,78,150,0,406,996,0
78694,5198,13769,1887,203,1287,852,83,94,251,745,162,51,105,593,263,89,8,512,1625,0
5120,1120,962,336,0,104,100,12,12,32,72,48,0,20,36,66,32,0,82,202,0
61294,7525,12074,1388,515,1590,805,143,284,331,294,205,3,65,379,46,23,46,686,1180,1
